Model: {'serial': 'model_20231126153242', 'input_memory': 72, 'head_size': 8, 'num_heads': 8, 'ff_dim': 10, 'mlp_units': 32, 'ST_RMSE': 1.1002618227206842, 'RMSE': 1.127334057041795, 'MAE': 2.6062624031792128}
Model: {'serial': 'model_20231126153357', 'input_memory': 72, 'head_size': 8, 'num_heads': 8, 'ff_dim': 10, 'mlp_units': 16, 'ST_RMSE': 0.6770351391285259, 'RMSE': 1.7458645161490698, 'MAE': 4.099937581231274}
Model: {'serial': 'model_20231126153444', 'input_memory': 72, 'head_size': 8, 'num_heads': 8, 'ff_dim': 10, 'mlp_units': 8, 'ST_RMSE': 0.8029150701248731, 'RMSE': 1.287570752587264, 'MAE': 3.053371586426833}
Model: {'serial': 'model_20231126153536', 'input_memory': 72, 'head_size': 8, 'num_heads': 8, 'ff_dim': 5, 'mlp_units': 32, 'ST_RMSE': 1.0731165263698437, 'RMSE': 1.2642872353010366, 'MAE': 3.1671202530957903}
Model: {'serial': 'model_20231126153623', 'input_memory': 72, 'head_size': 8, 'num_heads': 8, 'ff_dim': 5, 'mlp_units': 16, 'ST_RMSE': 1.1050447597341337, 'RMSE': 1.2817948726766581, 'MAE': 3.188161307309821}
Model: {'serial': 'model_20231126153731', 'input_memory': 72, 'head_size': 8, 'num_heads': 8, 'ff_dim': 5, 'mlp_units': 8, 'ST_RMSE': 1.0367290266398133, 'RMSE': 1.0975580902903717, 'MAE': 2.554725191350639}
Model: {'serial': 'model_20231126153833', 'input_memory': 72, 'head_size': 8, 'num_heads': 8, 'ff_dim': 2, 'mlp_units': 32, 'ST_RMSE': 0.9011598823729936, 'RMSE': 1.1833966055614635, 'MAE': 2.8256799886687105}
Model: {'serial': 'model_20231126153948', 'input_memory': 72, 'head_size': 8, 'num_heads': 8, 'ff_dim': 2, 'mlp_units': 16, 'ST_RMSE': 1.0942448749897116, 'RMSE': 0.905420344190034, 'MAE': 2.037213072367094}
Model: {'serial': 'model_20231126154043', 'input_memory': 72, 'head_size': 8, 'num_heads': 8, 'ff_dim': 2, 'mlp_units': 8, 'ST_RMSE': 0.49836275907821764, 'RMSE': 1.2470221373801247, 'MAE': 2.9616239979471395}
Model: {'serial': 'model_20231126154217', 'input_memory': 72, 'head_size': 8, 'num_heads': 4, 'ff_dim': 10, 'mlp_units': 32, 'ST_RMSE': 1.3062071474134476, 'RMSE': 1.2915347551488194, 'MAE': 3.6287248592500694}
Model: {'serial': 'model_20231126154320', 'input_memory': 72, 'head_size': 8, 'num_heads': 4, 'ff_dim': 10, 'mlp_units': 16, 'ST_RMSE': 1.2148337005634857, 'RMSE': 1.2115308636166866, 'MAE': 2.7747571394522286}
Model: {'serial': 'model_20231126154411', 'input_memory': 72, 'head_size': 8, 'num_heads': 4, 'ff_dim': 10, 'mlp_units': 8, 'ST_RMSE': 1.06941868152611, 'RMSE': 1.1896311999819769, 'MAE': 3.272132128174177}
